Cat Name,Daily Food Intake (grams/day),Cat Weight (kg)
Whiskers,115.3,8.78
Mittens,88.6,6.15
Luna,103.9,7.21
Simba,62.9,5.39
Cleo,111.9,7.12
Tiger,33.4,3.67
Oreo,67.6,5.38
Chloe,38.2,2.86
Max,35.3,4.38
Bella,41.1,4.42
Oliver,86.8,5.96
Lucy,115.3,7.66
Leo,82.7,6.44
Lily,117.9,7.74
Milo,80.1,5.86
Zoe,56.1,3.93
Charlie,78.7,6.27
Molly,57.8,4.96
Jack,91.4,6.73
Sophie,82.3,5.2
Dexter,46.9,5.34
Sasha,79.3,6.06
Gizmo,80.8,5.81
Coco,48.5,5.64
Oscar,77.9,5.87
Roxy,58.3,4.04
Felix,113.1,7.41
Misty,57.0,3.48
Jasper,46.2,4.94
Lola,52.0,4.35
Simba,57.0,4.4
Nala,108.8,8.08
Toby,70.4,4.53
Rosie,118.2,8.23
Finn,76.1,4.57
Ruby,98.1,6.51
George,114.0,6.98
Ivy,33.5,4.55
Rocky,37.0,4.91
Sadie,81.6,5.88
Ollie,103.7,7.69
Layla,92.6,6.52
Pepper,74.7,6.08
Mia,71.1,5.1
Salem,38.4,2.89
Stella,72.7,4.55
Sammy,35.8,4.02
Daisy,93.1,8.0
Ash,82.0,6.26
Willow,104.0,6.89
Binx,94.5,7.87
Maple,90.2,6.65
Jax,114.7,7.8
Hazel,45.1,4.41
Casper,74.4,5.64
Iris,99.1,6.77
Mochi,96.5,5.96
Olive,65.2,5.56
Peanut,74.7,5.68
Pumpkin,70.4,6.24
