Cat Name,Daily Food Intake (grams/day),Age (years),Daily Activity Level (hours/day),Body Weight (kilograms)
Whiskers,75.6,2.7,4.1,5.13
Mittens,48.0,8.3,2.5,5.59
Luna,46.4,7.9,0.7,5.7
Simba,87.7,1.5,1.0,5.74
Cleo,86.7,12.5,1.2,8.68
Tiger,64.6,9.6,5.7,6.24
Oreo,103.5,6.3,5.9,7.04
Chloe,45.1,12.9,2.1,6.74
Max,55.9,2.2,2.2,4.35
Bella,129.8,3.1,3.7,7.68
Oliver,110.3,5.9,3.5,7.56
Lucy,46.9,1.4,1.6,3.75
Leo,114.8,6.7,2.2,8.24
Lily,104.4,7.1,2.1,7.86
Milo,127.4,10.6,1.8,9.92
Zoe,103.2,8.1,5.3,7.54
Charlie,120.2,4.7,5.9,7.37
Molly,53.0,6.6,4.7,5.03
Jack,56.7,7.6,0.7,6.09
Sophie,113.5,11.6,3.7,9.22
Dexter,136.3,5.0,4.3,8.47
Sasha,105.4,8.9,3.0,8.29
Gizmo,132.4,14.2,3.1,10.95
Coco,113.1,1.4,4.4,6.42
Oscar,111.2,14.9,5.0,9.92
Roxy,71.3,6.1,4.2,5.71
Felix,42.5,7.2,1.4,5.2
Misty,52.9,1.4,4.7,3.45
Jasper,54.2,4.1,2.7,4.73
Lola,135.9,1.7,3.0,7.62
Simba,100.4,13.3,5.0,8.95
Nala,135.0,4.5,2.8,8.47
Toby,79.5,13.3,5.8,7.85
Rosie,56.6,3.1,1.8,4.67
Finn,65.7,7.5,3.7,5.9
Ruby,68.9,0.6,2.8,4.32
George,80.6,8.7,5.7,6.65
Ivy,116.0,8.0,3.9,8.45
Rocky,114.4,1.3,5.4,6.29
Sadie,125.8,13.2,4.9,10.11
Ollie,83.2,6.3,1.1,6.89
Layla,109.8,1.4,0.9,6.69
Pepper,63.0,2.9,2.4,4.82
Mia,45.8,0.5,1.3,3.47
Salem,51.2,5.8,0.6,5.25
Stella,136.2,9.4,1.3,9.98
Sammy,67.7,5.5,2.5,5.73
Daisy,53.5,12.8,6.0,6.7
Ash,91.3,7.5,1.0,7.57
Willow,51.2,5.5,2.0,5.02
Binx,131.2,2.8,0.6,8.19
Maple,144.6,8.2,1.3,10.12
Jax,99.7,0.9,3.4,5.73
Hazel,147.6,13.0,4.3,11.15
Casper,68.7,5.8,1.4,6.0
Iris,124.9,8.2,4.8,8.68
Mochi,76.3,3.7,5.0,5.15
Olive,148.3,12.9,4.9,11.08
Peanut,130.0,11.2,1.7,10.23
Pumpkin,96.9,5.7,0.7,7.41
Shadow,43.1,4.6,1.9,4.42
Ginger,116.2,14.4,3.0,10.22
Midnight,143.1,14.8,5.8,11.21
Snowball,80.1,3.7,1.7,5.97
Cuddles,61.6,3.5,3.9,4.65
Patches,139.0,12.7,3.1,10.8
Boots,111.8,12.1,1.0,9.71
Smokey,112.7,13.7,4.8,9.63
Rusty,122.5,7.4,1.5,8.84
Tigger,126.8,5.3,4.9,7.9
Felix,146.9,6.2,2.7,9.52
Bubbles,144.1,11.0,1.4,10.84
Muffin,54.0,2.7,5.5,3.87
Cinnamon,128.7,2.6,5.0,7.34
Pepper,147.8,10.0,2.4,10.67
